ZCTA,Total:,Not Hispanic or Latino:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone
11231,"40,311","33,874","24,312","4,577",64,"1,960"
11232,"28,501","14,183","6,499","1,942",19,"4,604"
11233,"85,633","71,976","9,793","57,952",294,"1,154"
11234,"94,254","85,684","32,593","41,612",224,"7,528"
11235,"84,859","77,207","60,353","1,706",0,"10,849"
11236,"102,238","93,476","4,016","82,918",117,"2,384"
11237,"50,590","20,892","11,711","3,564",189,"3,269"
11238,"58,597","51,977","28,330","16,436",0,"3,633"
11239,"15,917","13,438","2,460","9,950",0,438
11354,"53,375","45,901","8,846","1,719",68,"34,128"
11355,"80,918","68,816","6,046","1,659",321,"59,568"
11356,"27,295","15,531","6,470",337,0,"8,449"
11357,"44,030","37,360","25,467",194,36,"10,805"
11358,"38,103","30,939","11,937",265,213,"17,414"
11360,"20,076","17,916","11,253",224,0,"5,955"
11361,"30,006","25,648","11,899","1,372",48,"11,797"
11362,"19,217","17,370","7,477",463,0,"9,143"
11363,"7,424","6,616","3,668",62,87,"2,569"
11364,"39,015","32,699","12,023",743,292,"18,715"
11365,"45,439","36,162","11,143","4,292",63,"19,534"
11366,"13,922","12,275","4,697",843,0,"6,162"
11367,"42,362","35,205","19,117","2,713",75,"11,983"
11368,"116,469","28,390","5,670","7,947",67,"13,502"
11369,"31,550","13,891","2,893","5,216",43,"5,055"
11370,"29,780","18,476","7,573","3,816",93,"6,602"
11372,"67,252","31,253","12,518","1,925",0,"14,431"
11373,"102,104","58,620","5,183","1,352",354,"49,629"
11374,"47,019","37,609","18,516","1,937",0,"14,511"
11375,"76,091","65,089","37,879","1,999",8,"21,693"
11377,"85,255","52,174","17,408","1,304",53,"31,345"
11378,"39,994","25,910","19,711",353,24,"4,896"
11379,"39,805","31,579","25,687",206,42,"4,513"
11385,"109,111","58,314","46,484","2,147",30,"7,507"
11411,"21,605","20,158",526,"19,055",0,54
11412,"41,782","39,146",498,"34,884",254,"1,351"
11413,"45,661","42,556",544,"39,645",69,712
11414,"30,915","23,213","19,924","1,119",0,"1,583"
11415,"20,351","15,530","9,287","1,199",149,"4,069"
11416,"27,098","14,680","3,423","1,021",0,"9,002"
11417,"33,236","20,944","5,680","2,298",21,"9,853"
11418,"38,938","23,266","6,992","3,135",313,"9,492"
11419,"50,107","40,335","1,952","6,464",308,"17,717"
11420,"51,831","39,954","2,375","12,102",727,"17,302"
11421,"42,704","17,268","6,030","1,846",0,"7,604"
11422,"34,063","30,790","1,862","26,547",95,"1,290"
11423,"30,983","25,969","3,540","10,560",95,"8,809"
11426,"20,959","16,748","5,193","1,400",10,"9,067"
11427,"25,890","20,572","3,982","5,556",20,"8,742"
11428,"21,184","15,396","1,987","3,918",23,"6,187"
11429,"28,643","24,504",658,"19,137",204,"1,555"
11432,"64,858","50,900","7,753","10,363",526,"28,258"
11433,"41,396","35,637","1,129","23,552",667,"6,777"
11434,"66,424","59,371","1,324","52,264",131,"2,157"
11435,"60,842","41,923","7,922","14,727",215,"13,018"
11436,"21,248","18,366",278,"12,674",117,"1,666"
11691,"70,797","53,397","17,752","29,828",0,"2,946"
11692,"24,639","18,555","3,263","12,880",0,"1,407"
11693,"14,147","9,939","6,036","2,776",39,415
11694,"22,432","18,680","16,507","1,254",0,520
11697,"3,782","3,574","3,505",9,0,20
